,obj,vio,sum,obj-obj_optima
ave,0.03452616880813792,0.0,0.03452616880813792,0.10865982206621133
std,,,,
max,0.03452616880813792,0.0,0.03452616880813792,0.10865982206621133
min,0.03452616880813792,0.0,0.03452616880813792,0.10865982206621133
