Timestamp,JEP.EU_PIRCA-BD-101B.PV,JEP.EU_TIRA-BD-301.PV,JEP.EU_TIRCA-BD-101.PV,JEP.EU_WZIRA-BD-202.PV,JEP.EU_WZIRA-BD-302.CPV,JEP.EU_DIRA-EE3-201.PV,JEP.EU_TIRA-EE3-201.PV,JEP.EU_WZIRA-EE3-201.PV,yield,Batch Number
2023-01-02 12:00:00,15.657872198333335,171.39321644999998,202.73148600000002,94.78531646166668,42.185906091666666,1.186416944,137.86766306666667,136.90586598333334,0.692008983308589,1
2023-01-02 13:00:00,14.65652694742857,170.82654985428573,202.90048087142856,86.56084681914285,52.76074393171428,1.1864593573142856,137.38369184571428,139.54938943714285,0.6213024582380482,1
2023-01-02 14:00:00,13.977810048250001,170.73595619999998,203.40547218249998,88.59549560425,49.8078258995,1.1865277707500002,137.78263702249998,138.1335004775,0.6401255016256927,1
2023-01-02 15:00:00,13.642489929399998,170.372134714,203.417843326,89.8060733054,46.1540129088,1.18649999856,138.09867766600001,136.066083222,0.6605326298772267,1
2023-01-02 16:00:00,13.315133932439025,170.3925691926829,202.408892,88.03921117926829,52.67642044414634,1.1863720096829269,138.00239674390244,140.2464149292683,0.6256533845143815,1
2023-01-02 17:00:00,13.201219150408162,170.87896043877552,202.49624352857145,89.07415351265306,48.73695910693878,1.186293692,138.10542265918366,137.67358040408163,0.6463495709415663,1
2023-01-02 18:00:00,13.05691806862745,171.0718886490196,202.5085353490196,87.73097273823528,50.52629339921568,1.186261929764706,138.12452908039216,138.25950877058824,0.6345487307048003,1
2023-01-02 19:00:00,13.212377357454546,170.54545204909093,202.48491821454544,86.16209453236364,53.05443143,1.1862325755090908,138.34558715272726,139.29286970363637,0.6189070869047332,1
2023-01-02 20:00:00,13.3938711932,170.56615448199997,202.494036862,86.92555526759999,53.5782389064,1.18617693182,138.164208678,140.397266078,0.6186705190320435,1
2023-01-02 21:00:00,13.63019514152174,170.57240129130435,202.53000607826087,88.3961747226087,52.044030479565215,1.1861412085,137.98390927608696,140.32846169565218,0.6294221415822909,1
2023-01-02 22:00:00,13.990272433953487,170.21355136976743,202.64846624186046,87.43788430883721,50.35159372790698,1.1860751301860466,138.09983471162792,137.41883885813954,0.6345759164971961,1
2023-01-02 23:00:00,14.5639228025,170.49132792083333,202.68731975833336,85.76161416291666,54.34421690354167,1.1860787595208333,138.00754960625,139.94210227083332,0.6121202344693003,1
2023-01-03 00:00:00,15.062352514324326,168.9947744810811,202.74328324324324,84.79004710432432,56.953498118648646,1.186050282972973,137.6361154054054,141.29005184324325,0.5981933566776771,1
2023-01-03 01:00:00,15.833154522972972,169.6160030891892,202.7990974216216,82.67777911972973,58.85232574837838,1.1860998868378378,137.7307891864865,141.48320420270272,0.5841709733542355,1
2023-01-03 02:00:00,13.540005766206896,169.27460374655172,202.8455734275862,85.40483987810345,56.23927695155172,1.1860668617931034,138.11527436034484,141.0545183310345,0.6029536686003945,1
2023-01-03 03:00:00,12.458522930877194,168.90199386842107,202.72274539298246,87.26565939894736,54.73415368035088,1.1861142588421054,137.61618550350877,141.27715569122807,0.6145477061312384,1
2023-01-03 04:00:00,12.581459459245282,169.33233815471698,202.69553850377358,87.02192097754718,56.12221152792453,1.1861182676226414,137.84697881509433,143.02698041509433,0.6079321551948401,1
2023-01-03 05:00:00,12.562528423035715,168.09810229642858,202.71321895535715,86.41142899678572,55.14113787285714,1.1860675534999998,137.54729843214287,141.5989823982143,0.6104546947309182,1
2023-01-03 06:00:00,12.82415697525,169.2897090875,202.7081211075,89.571974372,51.94145960825,1.185989236825,138.04471283,141.28764153,0.6329573938860172,1
2023-01-03 07:00:00,13.114209426052632,170.7947696868421,202.85556109736842,91.84364138236842,49.05829620342106,1.186041129236842,138.48568324473683,141.5808467,0.6518266743241096,1
2023-01-03 08:00:00,13.607076201860465,170.73728765116277,202.8818295511628,87.99185961325581,50.97526128906977,1.1860281421860466,138.79018596744186,138.99049075581397,0.6331847349352641,1
2023-01-03 09:00:00,13.941900362954545,170.92418843636364,202.86673147045457,86.32582872545454,55.39199759704545,1.1860297782954545,138.38778477954546,141.33001153863637,0.6091388145412792,1
2023-01-03 10:00:00,14.468979988200001,170.946058656,202.78700530999998,84.3444601444,54.7003295894,1.18610192298,138.284319764,138.760994414,0.6065992138639407,1
2023-01-03 11:00:00,15.176702210606061,171.00385307878787,203.0459220181818,84.24483836787878,54.364446061818185,1.1861806566666668,138.4481339909091,137.83862004545455,0.6077864027254827,1
2023-01-03 12:00:00,13.619589328636364,170.9931810568182,203.08559279090912,88.58150551545454,50.06734518545454,1.1863112531136364,138.33536182954546,138.670683425,0.6388910190574969,1
2023-01-03 13:00:00,12.60882442877193,170.87913111578948,202.90859155964912,87.02779575754386,53.342775913508774,1.1863757455438597,138.2366788105263,140.3985876754386,0.6199860463736419,1
2023-01-03 14:00:00,12.685476779347825,170.77681731956523,202.95260752826087,88.43217916,53.10572060304348,1.1863748509565217,138.41496509347826,141.83667025434784,0.6247950500046225,1
2023-01-03 15:00:00,12.778767230588237,170.8334368490196,203.07141322549018,86.93535868333333,53.11266985196079,1.18639288927451,138.7730883372549,140.1409855254902,0.6207538913082548,1
2023-01-03 16:00:00,12.725754331111112,170.92444215,203.10890338333334,85.65268763814814,55.88362383,1.1863397889814815,138.52181752407407,141.4718113648148,0.6051640511871311,1
2023-01-03 17:00:00,13.071943450175437,171.06219348947369,203.14773211052633,84.93356176070175,55.58907907035088,1.186313376105263,138.62534907894738,140.35887145964912,0.6044119385915581,1
